IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
446,2378,GSI012,0,Reprovado,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1
450,2643,GSI012,60,Aprovado,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2
455,2168,GSI012,71,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,2
468,2378,GSI012,5,Reprovado,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1
473,2670,GSI012,0,Reprovado,1,1,1,1,1,1,1,1,1,1,2,1,1,0,2,0,0,0,0,0,1,0,2
474,2391,GSI012,60,Aprovado,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2
476,2520,GSI012,0,Reprovado,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,0,1,0,2
478,2545,GSI012,6,Reprovado,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,2
487,1926,GSI012,60,Aprovado,1,1,1,1,1,0,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
488,1926,GSI012,2,Reprovado,1,1,1,1,0,0,1,1,1,1,0,0,1,2,2,1,1,1,1,0,1,1,2
496,1929,GSI012,100,Aprovado,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
502,1926,GSI012,0,Reprovado,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1,1,2
506,2643,GSI012,22,Reprovado,1,0,1,1,1,1,2,1,2,1,0,2,1,2,2,2,2,2,2,1,1,1,2
511,1956,GSI012,0,Reprovado,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,1,1,1,2
519,2028,GSI012,60,Aprovado,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1
523,2378,GSI012,100,Aprovado,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,1
531,2001,GSI012,2,Reprovado,1,1,1,0,1,1,1,1,1,1,0,1,0,2,2,0,0,0,0,1,1,1,2
532,2545,GSI012,63,Aprovado,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,2
541,1771,GSI012,10,Reprovado,1,1,1,1,0,0,1,0,0,0,1,0,0,2,2,1,0,0,0,1,1,1,2
549,2520,GSI012,80,Aprovado,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,2
555,1771,GSI012,63,Aprovado,1,1,1,0,0,1,1,1,1,1,0,1,1,2,2,1,1,1,0,1,1,1,2
557,1771,GSI012,100,Aprovado,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,1,1,1,1,1,2
562,2001,GSI012,3,Reprovado,1,1,0,0,1,1,1,1,1,0,1,1,1,2,2,1,1,0,0,0,1,1,2
581,2073,GSI012,61,Aprovado,1,1,1,1,1,1,2,2,2,1,0,1,1,2,2,2,1,2,2,1,2,1,1
584,2741,GSI012,84,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
592,2670,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2
599,2691,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
621,2670,GSI012,81,Aprovado,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2
627,2007,GSI012,0,Reprovado,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,2,1,1,1,1
628,2001,GSI012,15,Reprovado,1,1,1,1,0,0,1,1,1,0,1,1,0,2,2,0,0,0,0,0,0,1,2
630,2028,GSI012,75,Aprovado,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,0,2,2,0,1,1,1
646,2741,GSI012,86,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
647,1929,GSI012,26,Reprovado,1,1,1,0,1,0,0,1,1,1,0,1,0,1,2,0,0,1,1,1,1,1,2
657,2691,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
659,2168,GSI012,0,Reprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,2
667,2001,GSI012,14,Reprovado,1,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,0,1,1,0,1,2
675,1929,GSI012,14,Reprovado,1,1,1,1,1,0,1,1,1,0,1,1,0,1,2,0,0,1,1,1,1,1,2
676,2741,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
687,2890,GSI012,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
