IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
241,2522,GSI017,44,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,0,0,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2
242,2522,GSI017,82,Aprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,0,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2
243,2522,GSI017,43,Reprovado,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,0,0,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2
247,2277,GSI017,29,Reprovado,0,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,0,2,2,0,2,2,2,1,2,2,0,0,2,2,2,2,2,2,0,0,0,0,0,0,2,1,2,2,1,2,2,0,0,1,2,0,2,0,1,1,2,2,1,1,0,2,0,1,1
248,2277,GSI017,27,Reprovado,0,1,2,0,2,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,0,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,0,0,1,2,1,2,0,1,0,2,2,1,1,0,2,1,1,1
249,2177,GSI017,0,Reprovado,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1
252,1833,GSI017,0,Reprovado,0,2,2,0,2,0,1,2,0,0,0,2,2,0,0,0,0,2,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,1,1,1
253,2277,GSI017,47,Reprovado,0,1,2,1,2,1,1,0,2,2,2,0,0,0,0,2,0,2,2,1,2,2,2,0,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,2,0,2,1,1,1,2,2,1,0,1,2,0,1,1
254,2467,GSI017,68,Aprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1
256,1833,GSI017,60,Aprovado,1,2,2,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,1,1,1
261,2467,GSI017,0,Reprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0
265,2277,GSI017,39,Reprovado,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,0,2,2,1,2,2,2,1,2,2,0,0,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,1,0,0,2,0,2,1,0,1,2,2,0,0,1,2,1,1,1
268,1609,GSI017,60,Aprovado,1,1,1,1,1,1,2,2,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,2,0,2,0,1,1,1
272,1593,GSI017,15,Reprovado,1,2,2,2,2,0,2,0,2,2,2,2,2,0,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,0,1,1,0,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,0,2,2,2,2,1,0,2
274,1593,GSI017,12,Reprovado,1,2,2,2,2,0,2,0,2,2,2,2,2,1,2,2,1,2,2,0,2,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,0,1,0,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,0,2,2,2,2,1,0,2
