IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14
341,1946,GSI001,74,Aprovado,1,1,1,2,1,1,2,1,2,1,1,1,1,1
349,1896,GSI001,93,Aprovado,1,0,1,1,1,1,1,2,2,2,2,1,1,1
350,1896,GSI001,95,Aprovado,1,0,0,1,1,1,1,2,2,2,2,1,1,1
351,1896,GSI001,88,Aprovado,1,1,1,1,0,1,0,2,2,2,2,1,1,1
352,1946,GSI001,77,Aprovado,1,1,1,2,1,1,2,0,2,1,1,1,1,1
361,2407,GSI001,88,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
362,1896,GSI001,10,Reprovado,1,0,0,1,0,1,0,2,2,2,2,1,1,1
364,1884,GSI001,60,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
373,2551,GSI001,95,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
374,2588,GSI001,97,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
376,2483,GSI001,90,Aprovado,1,1,2,2,1,1,2,2,1,2,2,2,1,1
377,2483,GSI001,0,Reprovado,1,0,2,2,0,1,2,2,0,2,2,2,1,1
378,2483,GSI001,90,Aprovado,1,1,2,2,1,1,2,2,1,2,2,2,1,1
380,2407,GSI001,88,Aprovado,1,1,1,1,1,1,2,1,1,1,2,1,1,1
384,2328,GSI001,90,Aprovado,1,1,1,2,2,2,2,2,2,2,2,1,1,1
387,2256,GSI001,89,Aprovado,1,1,1,2,2,1,2,1,2,2,2,1,1,1
390,2008,GSI001,70,Aprovado,1,1,0,1,1,1,2,2,2,2,1,2,1,1
392,2008,GSI001,79,Aprovado,1,1,0,1,1,1,2,2,2,2,1,2,1,1
393,1992,GSI001,60,Aprovado,1,1,1,1,2,1,2,1,2,1,1,2,1,1
395,1957,GSI001,96,Aprovado,1,1,1,2,1,1,1,1,2,1,0,2,1,2
396,1957,GSI001,91,Aprovado,1,1,1,2,1,0,1,1,2,1,1,2,1,2
398,1946,GSI001,32,Reprovado,1,0,0,2,1,1,2,0,2,0,1,1,0,1
399,1907,GSI001,74,Aprovado,1,1,1,1,1,2,2,2,2,0,1,2,1,2
