IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
219,2695,GSI018,50,Reprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
220,2715,GSI018,60,Aprovado,1,1,1,2,2,2,2,2,2,0,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,0,1,1,2,2,0,0,0,0,0,2,0,2,0,2,1,1,1,1,2,0,2,2,0,0,2,2,2,1,1,2
228,2715,GSI018,82,Aprovado,1,1,1,2,2,2,2,2,2,0,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,0,0,1,1,2,1,2,0,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,2
229,2695,GSI018,70,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
237,1824,GSI018,11,Reprovado,1,0,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2
241,2635,GSI018,63,Aprovado,1,1,1,0,1,2,2,2,2,2,0,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
242,2635,GSI018,72,Aprovado,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
243,2635,GSI018,64,Aprovado,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
248,1711,GSI018,66,Aprovado,1,2,0,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
250,2695,GSI018,60,Aprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
252,1802,GSI018,67,Aprovado,0,1,1,0,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,0,2,2,2,1,2,2,2,2,2,2,1,1,2,0,0,2,1,1,2,1,1,2
253,1632,GSI018,66,Aprovado,0,0,2,1,2,2,2,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,0,2,2,1,1,1,2,2,1,1,1,1,1,1,0,2,1,1,1,1
256,1711,GSI018,65,Aprovado,1,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
272,1719,GSI018,57,Reprovado,0,1,1,0,1,2,1,0,1,0,0,1,2,0,2,1,2,2,1,2,2,2,2,2,2,2,0,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,0,1,2
284,1605,GSI018,13,Reprovado,0,0,1,0,0,2,2,2,2,2,1,2,1,2,2,2,2,2,0,0,2,2,1,1,2,2,0,0,2,2,2,0,2,0,1,2,0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,0,2
285,1719,GSI018,87,Aprovado,0,1,1,1,1,2,1,1,1,0,1,1,2,1,2,0,2,2,1,2,2,2,2,2,2,2,1,0,0,2,1,1,2,1,2,1,0,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2
287,1634,GSI018,62,Aprovado,1,1,2,2,1,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
288,1632,GSI018,100,Aprovado,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,0,1,2,1,1,1,1
290,1632,GSI018,55,Reprovado,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,0,2,2,0,1,1,1,1,0,1,2,1,1,1,1
305,1605,GSI018,19,Reprovado,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,0,2,2,1,0,2,2,2,0,2,0,1,2,0,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,0,2
315,1634,GSI018,60,Aprovado,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,0,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
316,1602,GSI018,25,Reprovado,0,1,0,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,0,1,2,2,1,1,2,2,0,1,2,2,2,1,2,0,1,2,1,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,0,2
319,1718,GSI018,64,Aprovado,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,1,1
321,1634,GSI018,60,Aprovado,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,1,1,1
326,1656,GSI018,63,Aprovado,0,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2
335,1634,GSI018,62,Aprovado,1,1,2,2,1,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,0,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,2,1,1,1
373,1719,GSI018,85,Aprovado,0,1,1,0,1,2,1,0,0,1,0,1,2,0,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,0,2
374,1681,GSI018,81,Aprovado,0,0,0,1,1,2,1,1,0,1,1,0,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,2,0,2,2,2,2,2,2,2,1,1,2
