IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
241,1829,GSI014,51,Reprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
242,2633,GSI014,60,Aprovado,1,1,1,1,1,2,1,1,1,0,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1
243,1789,GSI014,60,Aprovado,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1
248,2521,GSI014,5,Reprovado,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,0,0,1,0,0,0,2,0,1,0,0
251,1829,GSI014,1,Reprovado,1,2,2,2,2,0,1,2,1,0,0,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0
252,1829,GSI014,81,Aprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
254,1829,GSI014,60,Aprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
256,1829,GSI014,60,Aprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
261,2396,GSI014,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1
272,1789,GSI014,2,Reprovado,1,2,2,0,2,0,0,1,0,1,1,2,0,2,0,2,0,0,0,0,0,2,2,0,1,0
274,1721,GSI014,75,Aprovado,1,1,1,1,1,1,0,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1
277,2157,GSI014,82,Aprovado,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1
284,2157,GSI014,61,Aprovado,1,2,2,2,2,2,1,1,1,2,0,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1
285,2232,GSI014,75,Aprovado,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
287,1720,GSI014,60,Aprovado,1,1,0,1,2,1,1,0,1,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1
288,1721,GSI014,93,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1
290,1604,GSI014,42,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
302,1626,GSI014,3,Reprovado,0,0,1,0,2,1,0,0,0,0,0,2,0,1,2,1,1,2,0,0,0,1,2,0,0,1
305,1721,GSI014,67,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1
310,1766,GSI014,60,Aprovado,0,2,2,1,1,1,1,1,0,2,0,2,2,2,1,1,1,2,2,2,1,1,0,1,1,2
313,1720,GSI014,0,Reprovado,0,0,0,0,2,0,0,0,0,0,0,2,2,0,2,2,0,2,1,1,1,0,2,0,0,1
315,1626,GSI014,15,Reprovado,1,0,1,0,2,1,1,1,1,1,1,2,1,1,2,1,1,2,0,0,0,1,2,1,1,1
316,1626,GSI014,5,Reprovado,0,0,1,1,2,0,1,0,1,1,1,2,0,0,2,1,1,2,0,0,0,1,2,0,0,1
319,1645,GSI014,86,Aprovado,1,2,1,1,1,1,1,1,2,1,1,2,0,1,1,1,0,1,1,2,1,1,2,1,1,2
321,2019,GSI014,77,Aprovado,0,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2
326,1626,GSI014,74,Aprovado,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,0,0,0,1,2,0,1,1
328,1604,GSI014,0,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
331,1720,GSI014,2,Reprovado,1,1,1,1,2,0,1,0,1,0,0,2,2,0,2,2,0,2,1,1,1,0,2,0,0,1
333,1604,GSI014,0,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
341,1604,GSI014,0,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
352,1604,GSI014,16,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
373,1766,GSI014,0,Reprovado,1,2,2,0,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2
374,1720,GSI014,0,Reprovado,1,0,1,0,2,0,0,0,0,0,0,2,2,0,2,2,0,2,1,1,1,0,2,0,0,1
376,2157,GSI014,60,Aprovado,1,2,2,2,2,2,1,0,0,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1
387,2157,GSI014,60,Aprovado,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1
390,2019,GSI014,91,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2
392,2019,GSI014,77,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2
393,1720,GSI014,89,Aprovado,1,1,1,1,2,0,1,1,1,1,0,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1
406,1829,GSI014,60,Aprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
420,1652,GSI014,70,Aprovado,1,2,1,0,1,0,1,1,1,1,1,2,1,1,0,0,1,2,1,1,1,1,2,1,1,1
421,1604,GSI014,12,Reprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
423,1720,GSI014,0,Reprovado,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1
433,2370,GSI014,87,Aprovado,1,1,1,1,2,1,1,1,0,2,0,2,2,1,1,1,1,1,0,0,2,2,1,1,1,2
437,1766,GSI014,60,Aprovado,1,2,2,1,0,1,1,1,1,2,0,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2
446,1789,GSI014,0,Reprovado,1,2,2,0,2,0,0,0,0,1,1,2,0,2,0,2,0,0,0,0,0,2,2,0,0,0
450,2666,GSI014,60,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
462,2666,GSI014,16,Reprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
464,1789,GSI014,1,Reprovado,1,2,2,0,2,0,0,1,0,1,1,2,0,2,0,2,0,0,0,0,0,2,2,0,1,0
468,2396,GSI014,60,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1
469,2633,GSI014,16,Reprovado,1,1,0,1,1,2,1,1,1,0,1,0,1,0,2,2,2,2,0,1,0,0,2,0,0,1
473,2666,GSI014,0,Reprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
474,2396,GSI014,65,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1
476,2521,GSI014,65,Aprovado,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1
481,1766,GSI014,60,Aprovado,1,2,2,0,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,0,0,0,1,1,2
486,1626,GSI014,0,Reprovado,1,0,0,0,2,0,0,0,0,0,0,2,0,0,2,1,1,2,0,0,0,1,2,0,0,1
488,2019,GSI014,82,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2
496,1604,GSI014,76,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2
502,2396,GSI014,71,Aprovado,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1
506,2666,GSI014,66,Aprovado,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1
511,1720,GSI014,60,Aprovado,1,1,1,1,2,0,1,1,0,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1
519,1645,GSI014,79,Aprovado,1,2,1,1,1,1,1,0,2,1,1,2,1,1,1,0,1,1,1,2,1,1,2,1,1,2
523,2370,GSI014,96,Aprovado,1,1,1,1,2,1,1,1,1,2,0,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2
528,1652,GSI014,0,Reprovado,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0
530,1789,GSI014,1,Reprovado,1,2,2,0,2,0,0,0,1,1,1,2,0,2,0,2,0,0,0,0,0,2,2,0,1,1
532,1829,GSI014,66,Aprovado,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1
549,2521,GSI014,76,Aprovado,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1
555,1721,GSI014,83,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,1,1,1,1,1,1,1,2,0,1,1
557,1721,GSI014,92,Aprovado,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1
561,2157,GSI014,41,Reprovado,1,2,2,2,2,2,1,0,1,2,0,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1
562,1626,GSI014,6,Reprovado,1,0,0,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,0,1,1
563,2019,GSI014,66,Aprovado,0,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2
581,2157,GSI014,63,Aprovado,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1
