IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
476,1864,GSI020,80,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
481,2037,GSI020,60,Aprovado,1,2,2,2,2,2,2,0,2,2,1,2,2,2,2,2,2,1,1,1
502,2394,GSI020,79,Aprovado,1,0,0,0,2,2,2,2,2,2,1,2,0,2,2,2,2,1,1,1
506,2672,GSI020,0,Reprovado,1,2,2,2,2,0,1,1,2,2,1,0,1,2,2,2,2,2,0,2
511,1590,GSI020,50,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
519,1637,GSI020,65,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
523,1817,GSI020,83,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
529,1637,GSI020,15,Reprovado,1,2,0,2,1,2,1,2,1,1,1,2,1,1,0,1,1,2,1,1
532,1753,GSI020,18,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2
549,1864,GSI020,94,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
555,1808,GSI020,0,Reprovado,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1
557,1808,GSI020,96,Aprovado,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,1
561,1777,GSI020,30,Reprovado,1,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,1,1,1
563,1631,GSI020,80,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
575,1864,GSI020,87,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
581,1637,GSI020,10,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
583,1684,GSI020,90,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,2,2,1,2
584,2832,GSI020,92,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
592,2527,GSI020,67,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
599,2696,GSI020,69,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
612,1631,GSI020,8,Reprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
621,2672,GSI020,74,Aprovado,1,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2
627,1704,GSI020,90,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
628,1704,GSI020,85,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2
630,1637,GSI020,65,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
635,1637,GSI020,70,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1
643,2832,GSI020,72,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
646,2696,GSI020,72,Aprovado,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
