IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
185,1900,GSI002,0,Reprovado,0,1,1,1,1,1,2,1,1,1,1,1,1,0,1,2,0,0,1,0,0,2,1,2
186,2561,GSI002,94,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,2
207,2712,GSI002,100,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
208,2735,GSI002,68,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
210,2735,GSI002,89,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
211,2721,GSI002,76,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
212,2702,GSI002,0,Reprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
215,2702,GSI002,100,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
216,2702,GSI002,81,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
217,2702,GSI002,72,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
218,2721,GSI002,60,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
219,2721,GSI002,90,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
220,2712,GSI002,79,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
225,2702,GSI002,63,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
228,2702,GSI002,67,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
229,2712,GSI002,90,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
230,2598,GSI002,47,Reprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
234,2659,GSI002,0,Reprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
235,2659,GSI002,70,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
237,2598,GSI002,42,Reprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2
241,2623,GSI002,60,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
242,2623,GSI002,100,Aprovado,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2
