IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2
868,2453,GSI002,7,Reprovado,1,2
879,2011,GSI002,0,Reprovado,1,2
883,1917,GSI002,3,Reprovado,0,0
889,2095,GSI002,60,Aprovado,1,2
891,2025,GSI002,60,Aprovado,1,2
892,1900,GSI002,92,Aprovado,1,1
895,2735,GSI002,77,Aprovado,1,2
899,2702,GSI002,77,Aprovado,1,2
905,2598,GSI002,48,Reprovado,1,2
906,2659,GSI002,68,Aprovado,1,2
907,2611,GSI002,9,Reprovado,1,2
911,2591,GSI002,43,Reprovado,1,2
938,2453,GSI002,60,Aprovado,1,2
939,2329,GSI002,73,Aprovado,1,1
941,2413,GSI002,7,Reprovado,1,2
961,2159,GSI002,0,Reprovado,1,0
986,2261,GSI002,0,Reprovado,0,2
991,2261,GSI002,76,Aprovado,0,2
1002,2159,GSI002,0,Reprovado,0,0
1048,2056,GSI002,92,Aprovado,1,2
1055,1947,GSI002,27,Reprovado,1,1
1077,1947,GSI002,0,Reprovado,1,1
1079,1954,GSI002,6,Reprovado,1,1
1081,1930,GSI002,55,Reprovado,1,2
1085,1917,GSI002,0,Reprovado,0,0
1113,1890,GSI002,7,Reprovado,1,1
1115,2712,GSI002,100,Aprovado,1,2
1117,2413,GSI002,53,Reprovado,1,2
1118,2331,GSI002,86,Aprovado,0,2
1119,2381,GSI002,0,Reprovado,1,2
1120,2331,GSI002,70,Aprovado,0,2
1124,2095,GSI002,52,Reprovado,1,2
1125,2025,GSI002,80,Aprovado,1,2
1130,1900,GSI002,96,Aprovado,1,1
1138,2335,GSI002,0,Reprovado,0,1
1143,2282,GSI002,39,Reprovado,1,1
1144,2261,GSI002,60,Aprovado,0,2
1146,1930,GSI002,72,Aprovado,1,2
1150,2598,GSI002,80,Aprovado,1,2
1151,2329,GSI002,30,Reprovado,1,1
1155,2196,GSI002,89,Aprovado,1,1
1160,2261,GSI002,0,Reprovado,0,2
1163,2721,GSI002,84,Aprovado,1,2
1166,2591,GSI002,54,Reprovado,1,2
1167,2623,GSI002,28,Reprovado,1,2
1168,2413,GSI002,85,Aprovado,1,2
1178,2095,GSI002,84,Aprovado,1,2
1179,2005,GSI002,82,Aprovado,1,2
1190,2735,GSI002,92,Aprovado,1,2
1193,2721,GSI002,62,Aprovado,1,2
1194,2011,GSI002,60,Aprovado,1,2
1195,2735,GSI002,92,Aprovado,1,2
1196,1900,GSI002,3,Reprovado,1,1
1203,2735,GSI002,61,Aprovado,1,2
1205,2735,GSI002,77,Aprovado,1,2
1209,2591,GSI002,62,Aprovado,1,2
1210,2623,GSI002,100,Aprovado,1,2
1211,2623,GSI002,0,Reprovado,1,2
1216,2561,GSI002,80,Aprovado,1,2
1217,2011,GSI002,62,Aprovado,1,2
1219,2335,GSI002,87,Aprovado,1,1
1221,2090,GSI002,0,Reprovado,0,2
1223,2173,GSI002,0,Reprovado,1,2
1224,2011,GSI002,84,Aprovado,1,2
1225,2011,GSI002,71,Aprovado,1,2
1227,2011,GSI002,60,Aprovado,1,2
1229,2095,GSI002,92,Aprovado,1,2
1230,1993,GSI002,61,Aprovado,1,2
1236,1890,GSI002,12,Reprovado,1,1
1237,1930,GSI002,0,Reprovado,0,2
1238,1966,GSI002,22,Reprovado,1,0
1239,1900,GSI002,73,Aprovado,0,1
1241,1900,GSI002,6,Reprovado,1,1
1242,1900,GSI002,51,Reprovado,1,1
1251,2677,GSI002,84,Aprovado,1,2
1252,2677,GSI002,5,Reprovado,1,2
1254,2423,GSI002,30,Reprovado,0,1
1255,2712,GSI002,62,Aprovado,1,2
1259,2611,GSI002,0,Reprovado,1,2
1260,2561,GSI002,85,Aprovado,1,2
1262,2598,GSI002,42,Reprovado,1,2
1275,2196,GSI002,87,Aprovado,1,1
1282,2025,GSI002,82,Aprovado,1,2
1284,2060,GSI002,82,Aprovado,1,2
1285,2060,GSI002,73,Aprovado,1,2
1288,2011,GSI002,61,Aprovado,1,2
1293,1908,GSI002,74,Aprovado,1,1
1294,1916,GSI002,65,Aprovado,1,1
1295,1916,GSI002,1,Reprovado,1,1
1297,1900,GSI002,71,Aprovado,1,1
1301,1954,GSI002,8,Reprovado,1,1
1303,2196,GSI002,86,Aprovado,1,1
1305,2056,GSI002,1,Reprovado,1,2
1317,2735,GSI002,94,Aprovado,1,2
1319,2611,GSI002,60,Aprovado,1,2
1321,2282,GSI002,96,Aprovado,1,1
1322,1916,GSI002,84,Aprovado,1,1
1323,1947,GSI002,63,Aprovado,1,1
1325,2173,GSI002,83,Aprovado,1,2
1326,1958,GSI002,79,Aprovado,1,1
1329,2630,GSI002,91,Aprovado,1,2
