IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
331,1965,GSI007,0,Reprovado,1,1,2,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,1,1,2
332,1999,GSI007,60,Aprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1
333,1904,GSI007,0,Reprovado,1,1,2,1,2,0,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1
352,1922,GSI007,49,Reprovado,1,1,2,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,2,2,1,1,1,1,1,2
361,2412,GSI007,1,Reprovado,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1
373,2115,GSI007,69,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2
374,2593,GSI007,77,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
376,2284,GSI007,60,Aprovado,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1
378,2384,GSI007,0,Reprovado,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,2,0,0,0,0,1,0,2
380,2301,GSI007,0,Reprovado,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1
384,2017,GSI007,77,Aprovado,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,0,1,1,2,0,1,1,1,1,1,2
387,1922,GSI007,66,Aprovado,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,1,1,2
390,2016,GSI007,76,Aprovado,1,2,1,1,1,1,1,1,0,0,2,0,1,1,2,1,1,2,2,1,1,1,2,1,1,1
392,2016,GSI007,60,Aprovado,1,2,1,1,1,1,1,1,1,1,2,0,1,1,2,1,1,2,2,1,1,1,2,1,1,1
393,1999,GSI007,78,Aprovado,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1
395,1904,GSI007,8,Reprovado,1,1,2,1,2,0,1,1,1,1,2,1,1,1,0,0,1,2,2,2,1,0,2,0,0,0
396,1922,GSI007,65,Aprovado,1,1,2,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,2,2,1,1,1,1,1,2
399,1904,GSI007,11,Reprovado,1,1,2,1,2,0,1,1,1,0,2,1,1,1,0,1,1,2,2,2,0,0,2,0,0,0
400,1904,GSI007,25,Reprovado,1,1,2,1,2,1,1,1,0,0,2,1,1,1,1,1,0,2,2,2,0,0,2,1,1,1
404,1904,GSI007,16,Reprovado,1,1,2,1,2,0,1,1,1,1,2,1,1,1,0,0,0,2,2,2,1,0,2,0,0,0
406,2593,GSI007,72,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
412,2593,GSI007,29,Reprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1
419,2491,GSI007,65,Aprovado,1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,1,1
420,1965,GSI007,75,Aprovado,1,1,2,1,1,1,1,1,0,0,1,2,1,1,0,1,0,1,2,2,0,1,0,1,1,2
425,1904,GSI007,84,Aprovado,1,1,2,1,2,1,1,1,1,0,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1
427,1922,GSI007,28,Reprovado,1,1,2,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,2,2,1,1,1,1,1,2
433,2412,GSI007,67,Aprovado,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1
434,2301,GSI007,12,Reprovado,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1
437,2115,GSI007,63,Aprovado,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2
440,1904,GSI007,81,Aprovado,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,0,1,1
