IDT_MATRICULA,IDT_TURMA,COD_DISCIPLINA,VLR_MEDIA,DSC_SITUACAO_FINAL,1,2,3,4,5,6,7,8,9,10,11,16,17,20,23,24,25
519,1627,GSI016,71,Aprovado,0,2,1,2,1,2,2,2,0,0,0,1,2,2,1,1,1
523,2287,GSI016,94,Aprovado,1,2,1,2,1,2,2,1,1,2,2,1,1,0,0,1,1
528,1770,GSI016,7,Reprovado,1,1,1,0,0,1,0,0,0,2,1,2,2,2,2,0,0
529,1627,GSI016,24,Reprovado,1,2,1,2,0,2,2,2,1,0,0,0,2,2,0,1,0
530,2068,GSI016,14,Reprovado,0,0,1,1,1,0,2,1,1,2,1,2,2,2,1,1,2
532,1659,GSI016,64,Aprovado,1,2,0,2,1,2,2,2,1,0,1,0,2,2,1,1,1
544,1659,GSI016,0,Reprovado,1,2,0,2,0,2,2,2,0,0,0,0,2,2,0,1,0
549,2427,GSI016,90,Aprovado,1,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2
555,2068,GSI016,72,Aprovado,0,1,1,1,1,1,2,1,1,2,0,2,2,2,1,1,2
557,2068,GSI016,97,Aprovado,1,1,0,1,1,1,2,1,1,2,1,2,2,2,1,1,2
561,1770,GSI016,68,Aprovado,1,1,0,1,1,1,0,1,1,2,1,2,2,2,2,1,1
562,1982,GSI016,34,Reprovado,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2
563,1933,GSI016,19,Reprovado,0,2,0,2,0,2,2,2,2,2,2,0,2,2,0,1,1
577,2287,GSI016,19,Reprovado,0,2,1,2,1,2,2,0,1,2,2,0,1,0,0,1,1
580,1775,GSI016,0,Reprovado,0,0,0,0,0,0,2,0,0,2,1,1,2,2,2,0,1
581,1775,GSI016,26,Reprovado,0,1,1,0,1,0,2,0,1,2,1,1,2,2,2,1,1
584,2891,GSI016,89,Aprovado,1,2,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1
591,1627,GSI016,0,Reprovado,1,2,0,2,0,2,2,2,0,0,0,0,2,2,0,1,0
592,2634,GSI016,76,Aprovado,0,2,1,2,1,2,2,1,2,1,2,0,0,2,1,1,1
599,2833,GSI016,60,Aprovado,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2
612,1726,GSI016,72,Aprovado,1,2,1,2,1,2,2,2,1,1,2,1,2,1,1,1,1
616,1933,GSI016,0,Reprovado,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1
621,2667,GSI016,62,Aprovado,0,2,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1
626,1952,GSI016,9,Reprovado,0,2,1,2,1,2,2,2,1,0,0,1,2,2,0,1,1
627,1627,GSI016,78,Aprovado,0,2,1,2,1,2,2,2,1,1,0,1,2,2,1,1,1
630,1775,GSI016,80,Aprovado,1,1,1,0,1,1,2,1,1,2,1,1,2,2,2,1,1
633,1770,GSI016,9,Reprovado,1,1,1,0,1,1,1,1,0,2,1,2,2,2,2,0,0
634,2398,GSI016,0,Reprovado,0,2,1,2,0,2,2,0,2,0,2,0,0,0,0,0,2
643,2891,GSI016,74,Aprovado,1,2,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1
657,2891,GSI016,60,Aprovado,1,2,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1
659,1775,GSI016,33,Reprovado,1,1,0,1,1,1,2,1,1,2,1,1,2,2,2,1,1
660,1933,GSI016,10,Reprovado,1,2,0,2,0,2,2,2,2,2,2,0,2,2,0,1,1
