"ID_MATRICULA";"datamatricula";"qtdhorasdia";"modalidadeidmodalidade";"datafinalizacao"
2521;"2018-10-10";"06:00:00";"3";
1401;"2018-10-10";"06:00:00";"3";"2019-04-10"
2089;"2018-10-09";"06:00:00";"3";"2019-04-30"
2492;"2018-10-04";"04:00:00";"1";"2018-12-19"
2535;"2018-10-02";"06:00:00";"3";"2018-12-18"
791;"2018-09-27";"06:00:00";"3";"2019-03-07"
2839;"2018-09-27";"06:00:00";"3";
439;"2018-09-25";"04:00:00";"3";
386;"2018-09-13";"06:00:00";"3";
2660;"2018-09-12";"08:00:00";"2";"2019-07-11"
534;"2018-09-12";"06:00:00";"3";"2019-03-13"
1163;"2018-09-12";"08:00:00";"2";"2019-02-28"
2416;"2018-09-12";"08:00:00";"2";"2019-02-01"
1303;"2018-09-12";"06:00:00";"3";"2019-04-30"
780;"2018-09-11";"08:00:00";"2";"2019-08-14"
311;"2018-09-06";"06:00:00";"3";
3149;"2018-09-06";"08:00:00";"2";"2019-01-17"
2678;"2018-09-05";"06:00:00";"3";"2019-03-19"
2088;"2018-08-30";"08:00:00";"2";"2018-12-20"
2797;"2018-08-30";"06:00:00";"3";
1325;"2018-08-29";"04:00:00";"1";"2019-05-30"
405;"2018-08-29";"08:00:00";"2";"2018-12-20"
135;"2018-08-29";"08:00:00";"2";"2018-12-19"
583;"2018-08-29";"05:00:00";"3";"2018-12-19"
2686;"2018-08-28";"06:00:00";"3";
2761;"2018-08-28";"06:00:00";"3";
582;"2018-08-28";"08:00:00";"2";"2018-11-13"
1191;"2018-08-23";"08:00:00";"2";"2018-12-19"
719;"2018-08-22";"08:00:00";"2";"2018-12-12"
2497;"2018-08-22";"08:00:00";"2";"2018-12-19"
2817;"2018-08-21";"06:00:00";"3";"2019-03-26"
631;"2018-08-21";"06:00:00";"3";"2018-10-24"
2269;"2018-08-16";"06:00:00";"3";"2018-12-11"
2589;"2018-08-09";"06:00:00";"3";"2019-01-29"
64;"2018-08-09";"06:00:00";"3";"2019-01-30"
2638;"2018-08-09";"06:00:00";"3";"2019-01-29"
102;"2018-08-08";"06:00:00";"3";
2653;"2018-08-06";"06:00:00";"3";
113;"2018-08-01";"06:00:00";"3";"2018-12-19"
2443;"2018-07-30";"06:00:00";"3";"2019-05-15"
485;"2018-07-26";"06:00:00";"3";"2018-12-14"
1506;"2018-07-23";"06:00:00";"3";"2019-07-02"
1083;"2018-07-20";"06:00:00";"3";"2019-02-28"
736;"2018-07-19";"06:00:00";"3";
1279;"2018-07-19";"06:00:00";"3";
3141;"2018-07-19";"06:00:00";"3";
1680;"2018-07-19";"06:00:00";"3";
1158;"2018-07-19";"06:00:00";"3";
1226;"2018-07-19";"06:00:00";"3";
2806;"2018-07-19";"06:00:00";"3";
1126;"2018-07-19";"06:00:00";"3";
2583;"2018-07-19";"06:00:00";"3";"2018-12-08"
383;"2018-07-18";"05:00:00";"3";"2018-12-05"
293;"2018-07-17";"06:00:00";"3";
1419;"2018-07-12";"06:00:00";"3";
566;"2018-07-11";"04:00:00";"3";
1672;"2018-07-05";"06:00:00";"3";"2019-01-15"
2688;"2018-06-28";"06:00:00";"3";
2306;"2018-06-27";"06:00:00";"3";
2553;"2018-06-20";"06:00:00";"3";
274;"2018-06-15";"06:00:00";"3";"2019-10-03"
2136;"2018-06-14";"08:00:00";"2";
2527;"2018-06-14";"06:00:00";"3";"2020-11-16"
1686;"2018-06-13";"06:00:00";"3";"2019-08-13"
285;"2018-06-13";"08:00:00";"2";"2018-10-11"
1168;"2018-06-08";"06:00:00";"3";
3127;"2018-06-06";"06:00:00";"3";"2018-12-13"
2367;"2018-06-06";"06:00:00";"3";
2716;"2018-05-24";"06:00:00";"3";"2018-12-04"
286;"2018-05-23";"06:00:00";"3";"2018-12-13"
2771;"2018-05-22";"06:00:00";"3";
461;"2018-05-17";"06:00:00";"3";
627;"2018-05-16";"06:00:00";"3";
2331;"2018-05-16";"08:00:00";"2";"2019-08-22"
2422;"2018-05-16";"06:00:00";"3";
2615;"2018-05-10";"06:00:00";"3";"2020-09-24"
579;"2018-05-09";"06:00:00";"3";
127;"2018-05-08";"04:00:00";"3";"2018-10-11"
2519;"2018-04-27";"06:00:00";"3";
2355;"2018-04-27";"06:00:00";"3";"2018-10-04"
1213;"2018-04-26";"08:00:00";"2";
2146;"2018-04-26";"08:00:00";"2";
180;"2018-04-26";"08:00:00";"2";"2018-07-18"
179;"2018-04-26";"08:00:00";"2";"2018-07-18"
1686;"2018-04-26";"06:00:00";"3";
123;"2018-04-24";"06:00:00";"3";
1475;"2018-04-12";"08:00:00";"2";"2018-10-03"
2726;"2018-04-11";"06:00:00";"3";
2567;"2018-04-10";"06:00:00";"3";"2018-09-25"
2441;"2018-04-10";"06:00:00";"3";"2019-06-13"
386;"2018-04-10";"06:00:00";"3";"2018-08-29"
2495;"2018-04-05";"06:00:00";"3";"2018-11-21"
555;"2018-04-05";"06:00:00";"3";
2552;"2018-04-04";"06:00:00";"3";
1667;"2018-04-04";"08:00:00";"2";"2018-08-22"
2582;"2018-04-04";"05:00:00";"3";
1154;"2018-04-04";"04:00:00";"3";"2019-06-05"
2025;"2018-03-29";"08:00:00";"2";
272;"2018-03-29";"06:00:00";"3";"2018-12-12"
2557;"2018-03-28";"06:00:00";"3";"2018-08-23"
519;"2018-03-28";"06:00:00";"3";
1506;"2018-03-28";"06:00:00";"3";"2018-07-05"
667;"2018-03-28";"08:00:00";"3";"2018-07-18"
1212;"2018-03-28";"06:00:00";"3";
167;"2018-03-28";"06:00:00";"3";
2661;"2018-03-27";"06:00:00";"3";
557;"2018-03-27";"06:00:00";"3";"2018-10-31"
2620;"2018-03-27";"06:00:00";"3";"2018-12-12"
2011;"2018-03-23";"08:00:00";"2";"2018-09-26"
508;"2018-03-21";"06:00:00";"3";
2526;"2018-03-21";"06:00:00";"3";
2489;"2018-03-20";"06:00:00";"3";
782;"2018-03-20";"08:00:00";"2";"2018-12-19"
2531;"2018-03-20";"06:00:00";"3";
2761;"2018-03-14";"06:00:00";"3";
534;"2018-03-14";"06:00:00";"3";"2018-06-20"
2542;"2018-03-14";"06:00:00";"3";"2018-08-21"
2844;"2018-03-13";"06:00:00";"3";
116;"2018-03-13";"06:00:00";"3";"2018-07-19"
2782;"2018-03-08";"06:00:00";"3";
2370;"2018-03-08";"06:00:00";"2";"2018-08-22"
1346;"2018-03-07";"06:00:00";"3";"2018-09-25"
2767;"2018-03-01";"06:00:00";"3";
2440;"2018-03-01";"06:00:00";"3";
2692;"2018-02-28";"06:00:00";"3";"2021-04-23"
2678;"2018-02-28";"06:00:00";"3";"2018-09-05"
2437;"2018-02-28";"06:00:00";"3";"2018-07-19"
293;"2018-02-27";"06:00:00";"3";
2427;"2018-02-27";"06:00:00";"3";
2480;"2018-02-27";"06:00:00";"3";
2321;"2018-02-27";"06:00:00";"3";"2018-09-05"
2590;"2018-02-21";"06:00:00";"3";
1935;"2018-02-21";"06:00:00";"3";
1320;"2018-02-20";"06:00:00";"3";
1276;"2018-02-16";"06:00:00";"3";"2020-02-20"
2463;"2018-02-14";"06:00:00";"3";"2018-06-20"
2605;"2018-02-02";"06:00:00";"3";
1434;"2018-01-30";"06:00:00";"3";
735;"2018-01-26";"06:00:00";"3";"2018-07-19"
2329;"2018-01-25";"06:00:00";"3";
2437;"2018-01-25";"06:00:00";"1";"2018-07-19"
286;"2018-01-24";"06:00:00";"3";
1321;"2018-01-17";"06:00:00";"3";
2341;"2018-01-17";"06:00:00";"3";"2018-09-12"
2415;"2018-01-11";"06:00:00";"3";"2018-07-11"
2624;"2018-01-10";"06:00:00";"3";"2018-06-28"
1319;"2018-01-09";"06:00:00";"3";
2210;"2018-01-09";"06:00:00";"3";"2018-03-22"
1282;"2018-01-08";"06:00:00";"3";
2409;"2017-12-21";"06:00:00";"3";"2018-10-04"
1222;"2017-12-21";"06:00:00";"3";
1437;"2017-12-20";"06:00:00";"3";
289;"2017-12-20";"05:00:00";"3";
2017;"2017-12-20";"08:00:00";"2";"2018-10-10"
1430;"2017-12-19";"04:00:00";"3";
149;"2017-12-19";"06:00:00";"3";
3168;"2017-12-13";"06:00:00";"3";
2400;"2017-12-13";"06:00:00";"3";
253;"2017-12-07";"06:00:00";"3";
2415;"2017-12-07";"06:00:00";"3";
2594;"2017-12-05";"06:00:00";"3";
2557;"2017-12-05";"04:00:00";"3";
3192;"2017-11-30";"06:00:00";"3";
277;"2017-11-28";"06:00:00";"3";"2018-07-11"
2543;"2017-11-28";"06:00:00";"3";"2018-12-04"
2236;"2017-11-23";"06:00:00";"3";
1272;"2017-11-16";"06:00:00";"3";"2018-03-06"
2418;"2017-11-14";"06:00:00";"3";
2169;"2017-11-14";"08:00:00";"2";"2018-01-24"
1229;"2017-11-14";"06:00:00";"3";"2019-11-05"
1579;"2017-11-14";"06:00:00";"3";"2018-02-15"
110;"2017-11-14";"08:00:00";"2";"2018-01-24"
2846;"2017-11-09";"06:00:00";"3";"2019-10-11"
1275;"2017-11-09";"08:00:00";"2";"2018-04-10"
2224;"2017-11-09";"08:00:00";"2";"2018-01-18"
583;"2017-11-09";"06:00:00";"3";"2018-06-07"
2567;"2017-11-08";"06:00:00";"3";
1454;"2017-11-08";"08:00:00";"2";"2018-03-27"
2845;"2017-11-08";"06:00:00";"3";"2018-05-16"
1214;"2017-11-07";"06:00:00";"3";"2018-01-17"
579;"2017-11-07";"06:00:00";"3";"2019-04-23"
292;"2017-11-07";"06:00:00";"3";
444;"2017-11-01";"06:00:00";"3";"2019-09-04"
735;"2017-11-01";"06:00:00";"3";"2018-05-17"
2696;"2017-11-01";"06:00:00";"3";
648;"2017-10-31";"06:00:00";"3";"2018-01-11"
2311;"2017-10-31";"06:00:00";"3";
1410;"2017-10-31";"06:00:00";"3";
1664;"2017-10-19";"05:00:00";"3";"2018-04-17"
1145;"2017-10-19";"06:00:00";"3";
284;"2017-10-18";"06:00:00";"3";
297;"2017-10-17";"06:00:00";"3";
2596;"2017-10-11";"06:00:00";"3";
2256;"2017-10-11";"06:00:00";"3";"2018-02-14"
691;"2017-10-11";"08:00:00";"2";
2521;"2017-10-10";"06:00:00";"3";
2343;"2017-10-10";"06:00:00";"3";
263;"2017-09-28";"06:00:00";"3";"2018-02-15"
293;"2017-09-27";"06:00:00";"3";
1935;"2017-09-26";"06:00:00";"3";"2018-02-20"
2308;"2017-09-26";"08:00:00";"2";"2017-12-20"
1121;"2017-09-26";"06:00:00";"3";
2519;"2017-09-21";"06:00:00";"3";"2018-04-11"
534;"2017-09-20";"06:00:00";"3";
630;"2017-09-20";"06:00:00";"3";
710;"2017-09-20";"08:00:00";"2";"2018-03-06"
